Counter,Date/time,Latitude,Longitude,Temperature,Humidity,Pressure,Motion_Detected
209,2022-04-19 19:53:03.902030,-0.1407492679833647,119.34219539807691,35.0625,29.1262,1005.8203,False
210,2022-04-19 19:53:07.974409,0.06703337715536165,119.48846116559376,35.0803,29.2915,1005.8101,False
211,2022-04-19 19:53:12.002607,0.2726002909560621,119.63316909748062,35.0625,29.01,1005.7886,False
212,2022-04-19 19:53:16.071289,0.4802897471326951,119.77937853459201,35.0092,29.2364,1005.7749,True
213,2022-04-19 19:53:20.143370,0.6880542647842381,119.92565367124477,34.9914,29.3098,1005.781,False
214,2022-04-19 19:53:24.172647,0.8936701666937947,120.07043413545412,34.9736,28.9457,1005.8127,False
215,2022-04-19 19:53:28.241192,1.1013441575542073,120.2166874245696,34.9736,29.0191,1005.7935,False
216,2022-04-19 19:53:32.314448,1.3091503294164177,120.36306307920495,34.9558,28.958,1005.7983,False
217,2022-04-19 19:53:36.342694,1.514696399232489,120.50788095426681,35.1158,29.2119,1005.8003,True
218,2022-04-19 19:53:40.411171,1.7223355027659117,120.65421346846256,35.1336,29.1324,1005.8013,False
219,2022-04-19 19:53:44.484572,1.9301196386544317,120.80069391622874,34.9558,29.1568,1005.7993,False
220,2022-04-19 19:53:48.512591,2.135614312653674,120.94561076818574,35.1336,29.0375,1005.7815,False
221,2022-04-19 19:53:52.582049,2.3432611116293462,121.09210169517979,35.0981,29.2394,1005.7954,False
222,2022-04-19 19:53:56.654223,2.5509372656909415,121.2386755214886,35.0625,29.2272,1005.8296,False
223,2022-04-19 19:54:00.684332,2.756486498498907,121.38381488474587,35.0447,28.9457,1005.8176,False
224,2022-04-19 19:54:04.713580,2.961975873099191,121.52898368289011,35.0625,28.9886,1005.8237,False
225,2022-04-19 19:54:08.776179,3.169191417912135,121.67545000850338,35.0269,28.9916,1005.8372,False
226,2022-04-19 19:54:12.805555,3.374593386972005,121.8207172437903,34.9736,29.2088,1005.8015,True
227,2022-04-19 19:54:16.833996,3.5799597382383945,121.96604712401137,34.9736,29.1048,1005.8193,False
228,2022-04-19 19:54:20.861743,3.7853312000087294,122.11147386842353,34.9025,29.1782,1005.8105,False
229,2022-04-19 19:54:24.933917,3.992834711286248,122.25851059184937,35.0447,29.2578,1005.8069,False
230,2022-04-19 19:54:29.004183,4.200293857181947,122.40562220190945,34.9914,29.0742,1005.8208,False
231,2022-04-19 19:54:33.075622,4.407696655212629,122.55280575394518,34.9025,28.961,1005.8284,False
232,2022-04-19 19:54:37.105541,4.612985561844924,122.69860490142179,35.1158,28.9365,1005.7969,False
233,2022-04-19 19:54:41.134343,4.818188654750596,122.84446366545693,35.0269,29.3251,1005.7891,False
234,2022-04-19 19:54:45.164636,5.02342452888726,122.99047180441254,35.0447,29.2731,1005.7976,True
235,2022-04-19 19:54:49.192602,5.228506381886954,123.13650183228995,35.0803,29.2119,1005.7776,False
236,2022-04-19 19:54:53.264407,5.435778013031121,123.28423027936985,34.9558,29.5699,1005.8113,True
237,2022-04-19 19:54:57.331209,5.64279575683164,123.43192313260705,35.0092,29.4169,1005.7991,False
238,2022-04-19 19:55:01.404538,5.8500044128177064,123.57990341213983,35.0092,29.2211,1005.7788,False
239,2022-04-19 19:55:05.432850,6.054916902969296,123.7263983107788,34.9558,29.2517,1005.78,False
240,2022-04-19 19:55:09.501696,6.261894531866198,123.87453126805165,34.9736,29.4322,1005.7966,False
241,2022-04-19 19:55:13.565772,6.468529470767368,124.02258680894901,35.0625,29.0987,1005.781,False
242,2022-04-19 19:55:17.593585,6.673223243978614,124.16942255585859,35.0269,29.3863,1005.7844,False
243,2022-04-19 19:55:21.622743,6.877978464964402,124.3164784162127,34.9736,29.3741,1005.7656,False
244,2022-04-19 19:55:25.691714,7.0847465362252615,124.46516439151733,34.9914,29.0956,1005.7944,False
245,2022-04-19 19:55:29.764239,7.291536702965197,124.6140575605857,35.0269,29.371,1005.7764,False
246,2022-04-19 19:55:33.831684,7.498110049585403,124.76299156252686,34.9736,29.3251,1005.7407,False
247,2022-04-19 19:55:37.903763,7.704757785457018,124.91218211293528,35.0803,29.0344,1005.7432,False
248,2022-04-19 19:55:41.966731,7.910954575099067,125.06125536277483,34.9558,29.114,1005.7798,False
249,2022-04-19 19:55:45.995147,8.115274888175593,125.20918308704461,34.9736,29.0222,1005.7703,False
250,2022-04-19 19:55:50.023235,8.319543109917662,125.35728903661432,35.0447,29.2486,1005.7844,False
251,2022-04-19 19:55:54.095167,8.525963934125128,125.50718109338919,35.0625,29.0865,1005.7903,False
252,2022-04-19 19:55:58.123309,8.73008733982898,125.65563362550064,34.9914,29.1844,1005.7917,False
253,2022-04-19 19:56:02.175870,8.93545793574848,125.80522879813381,34.9914,29.0834,1005.7407,False
254,2022-04-19 19:56:06.202768,9.139336743415024,125.95397709080196,34.9736,29.2119,1005.759,False
255,2022-04-19 19:56:10.275242,9.345447118579804,126.10460249309159,35.0269,29.1905,1005.7729,False
256,2022-04-19 19:56:14.304155,9.54930715047907,126.25383570254657,34.9558,28.8906,1005.7991,False
257,2022-04-19 19:56:18.334649,9.753172979623733,126.40333025779553,35.0447,28.9855,1005.7764,False
258,2022-04-19 19:56:22.362785,9.956835919973136,126.55293888549998,34.9914,28.9733,1005.7898,False
259,2022-04-19 19:56:26.434789,10.16263238355811,126.70438792573039,34.9736,29.0008,1005.7908,False
260,2022-04-19 19:56:30.462415,10.366138331752044,126.85442759913316,34.938,29.1721,1005.8145,False
261,2022-04-19 19:56:34.491752,10.569603426071449,127.00471804856659,35.0625,29.3312,1005.7773,True
